ds,y
2022-01-01,26.669583333333332
2022-01-02,26.622500000000002
2022-01-03,27.824583333333333
2022-01-04,27.87875
2022-01-05,27.91875
2022-01-06,27.825833333333332
2022-01-07,26.793333333333333
2022-01-08,28.079166666666666
2022-01-09,26.62
2022-01-10,28.31625
2022-01-11,26.13
2022-01-12,25.6975
2022-01-13,27.125416666666666
2022-01-14,28.08375
2022-01-15,26.995
2022-01-16,27.327083333333334
2022-01-17,27.507499999999997
2022-01-18,25.99
2022-01-19,25.675833333333333
2022-01-20,25.8175
2022-01-21,27.7475
2022-01-22,27.040833333333335
2022-01-23,28.870416666666667
2022-01-24,29.5425
2022-01-25,28.027916666666666
2022-01-26,27.70583333333333
2022-01-27,27.203333333333333
2022-01-28,27.247083333333332
2022-01-29,27.212083333333336
2022-01-30,27.706666666666667
2022-01-31,27.628333333333334
2022-02-01,27.329166666666666
2022-02-02,27.835416666666664
2022-02-03,27.512916666666666
2022-02-04,26.786666666666665
2022-02-05,27.535833333333333
2022-02-06,27.045
2022-02-07,25.916666666666668
2022-02-08,27.15833333333333
2022-02-09,26.23875
2022-02-10,27.192916666666665
2022-02-11,26.496666666666666
2022-02-12,27.205
2022-02-13,26.864583333333332
2022-02-14,27.5325
2022-02-15,27.799166666666665
2022-02-16,28.53
2022-02-17,27.287916666666664
2022-02-18,25.925833333333333
2022-02-19,28.174166666666665
2022-02-20,26.404583333333335
2022-02-21,26.041666666666668
2022-02-22,27.2925
2022-02-23,26.793333333333333
2022-02-24,26.824166666666667
2022-02-25,27.328333333333333
2022-02-26,26.875
2022-02-27,26.747500000000002
2022-02-28,26.1675
2022-03-01,26.87125
2022-03-02,27.4225
2022-03-03,28.162499999999998
2022-03-04,27.584999999999997
2022-03-05,27.456666666666667
2022-03-06,27.463333333333335
2022-03-07,27.37708333333333
2022-03-08,27.152083333333334
2022-03-09,27.673333333333332
2022-03-10,27.540833333333335
2022-03-11,28.080416666666665
2022-03-12,27.461666666666662
2022-03-13,27.465
2022-03-14,28.749166666666667
2022-03-15,28.615
2022-03-16,27.958333333333332
2022-03-17,28.629583333333333
2022-03-18,29.086249999999996
2022-03-19,27.542083333333334
2022-03-20,27.146666666666665
2022-03-21,26.382499999999997
2022-03-22,26.25
2022-03-23,27.375416666666666
2022-03-24,29.241666666666664
2022-03-25,28.70583333333333
2022-03-26,27.46375
2022-03-27,26.493750000000002
2022-03-28,28.33
2022-03-29,27.883750000000003
2022-03-30,28.340833333333332
2022-03-31,27.502916666666664
2022-04-01,27.442083333333333
2022-04-02,28.25
2022-04-03,26.90416666666667
2022-04-04,28.257499999999997
2022-04-05,28.957083333333333
2022-04-06,28.63
2022-04-07,28.874166666666667
2022-04-08,28.962083333333336
2022-04-09,28.792916666666667
2022-04-10,28.860416666666666
2022-04-11,29.549583333333334
2022-04-12,28.879166666666666
2022-04-13,29.1675
2022-04-14,29.453333333333333
2022-04-15,29.709166666666665
2022-04-16,29.041666666666668
2022-04-17,29.662499999999998
2022-04-18,28.254166666666666
2022-04-19,26.625
2022-04-20,27.86916666666667
2022-04-21,27.418333333333333
2022-04-22,28.7925
2022-04-23,28.666666666666668
2022-04-24,28.906666666666666
2022-04-25,29.29041666666667
2022-04-26,27.99791666666667
2022-04-27,28.329583333333332
2022-04-28,27.506666666666664
2022-04-29,28.840416666666666
2022-04-30,26.75
2022-05-01,29.075
2022-05-02,29.8275
2022-05-03,29.872083333333332
2022-05-04,29.290000000000003
2022-05-05,29.41333333333333
2022-05-06,28.918333333333333
2022-05-07,29.367500000000003
2022-05-08,27.991666666666664
2022-05-09,28.12375
2022-05-10,28.411666666666665
2022-05-11,28.7075
2022-05-12,29.16208333333333
2022-05-13,28.13208333333333
2022-05-14,28.538749999999997
2022-05-15,29.460416666666664
2022-05-16,29.097083333333334
2022-05-17,28.74625
2022-05-18,28.250416666666666
2022-05-19,27.6775
2022-05-20,26.96291666666667
2022-05-21,28.2825
2022-05-22,29.08583333333333
2022-05-23,29.36708333333333
2022-05-24,29.410833333333333
2022-05-25,28.285
2022-05-26,25.16541666666667
2022-05-27,26.944166666666664
2022-05-28,28.998333333333335
2022-05-29,28.49
