ds,y
2018-01-01,28.074583333333333
2018-01-02,27.785833333333333
2018-01-03,29.041666666666668
2018-01-04,27.576666666666668
2018-01-05,27.656666666666666
2018-01-06,27.03333333333333
2018-01-07,26.29125
2018-01-08,28.086249999999996
2018-01-09,28.284583333333334
2018-01-10,27.375
2018-01-11,26.537916666666664
2018-01-12,27.955
2018-01-13,27.500416666666666
2018-01-14,28.12708333333333
2018-01-15,27.98875
2018-01-16,28.2975
2018-01-17,29.074583333333333
2018-01-18,26.540000000000003
2018-01-19,25.965
2018-01-20,26.116666666666664
2018-01-21,28.08583333333333
2018-01-22,27.584166666666665
2018-01-23,27.127916666666664
2018-01-24,27.25375
2018-01-25,27.662916666666664
2018-01-26,27.250416666666666
2018-01-27,28.576666666666668
2018-01-28,28.329166666666666
2018-01-29,28.050833333333333
2018-01-30,27.693749999999998
2018-01-31,27.28916666666667
2018-02-01,26.791666666666668
2018-02-02,26.875416666666666
2018-02-03,27.363333333333333
2018-02-04,28.076666666666668
2018-02-05,27.337500000000002
2018-02-06,27.414166666666663
2018-02-07,27.959999999999997
2018-02-08,25.717083333333335
2018-02-09,26.319999999999997
2018-02-10,27.674166666666665
2018-02-11,27.868333333333336
2018-02-12,28.28
2018-02-13,27.333333333333332
2018-02-14,28.137083333333333
2018-02-15,26.204583333333332
2018-02-16,27.371666666666666
2018-02-17,28.48875
2018-02-18,28.7825
2018-02-19,27.584999999999997
2018-02-20,27.9075
2018-02-21,28.705
2018-02-22,27.248333333333335
2018-02-23,27.909583333333334
2018-02-24,26.0475
2018-02-25,27.875833333333333
2018-02-26,26.45
2018-02-27,28.616249999999997
2018-02-28,27.866249999999997
2018-03-01,28.003333333333334
2018-03-02,29.371666666666666
2018-03-03,27.582083333333333
2018-03-04,29.495
2018-03-05,27.123333333333335
2018-03-06,29.287499999999998
2018-03-07,26.876666666666665
2018-03-08,27.908749999999998
2018-03-09,27.96625
2018-03-10,27.86791666666667
2018-03-11,27.463333333333335
2018-03-12,27.662499999999998
2018-03-13,26.5775
2018-03-14,29.04958333333333
2018-03-15,28.950416666666666
2018-03-16,27.971249999999998
2018-03-17,26.77416666666667
2018-03-18,28.251666666666665
2018-03-19,28.1725
2018-03-20,28.78333333333333
2018-03-21,28.58583333333333
2018-03-22,27.544166666666666
2018-03-23,29.495833333333334
2018-03-24,28.25125
2018-03-25,27.545833333333334
2018-03-26,28.414583333333336
2018-03-27,28.082083333333333
2018-03-28,28.788749999999997
2018-03-29,29.168333333333333
2018-03-30,27.925833333333333
2018-03-31,28.375833333333333
2018-04-01,28.36125
2018-04-02,27.89
2018-04-03,29.416666666666668
2018-04-04,29.795
2018-04-05,30.247083333333332
2018-04-06,29.960416666666664
2018-04-07,29.04041666666667
2018-04-08,28.459999999999997
2018-04-09,29.290000000000003
2018-04-10,29.95125
2018-04-11,30.279583333333335
2018-04-12,30.080833333333334
2018-04-13,30.45875
2018-04-14,30.739583333333332
2018-04-15,30.4975
2018-04-16,30.081666666666667
2018-04-17,28.914166666666663
2018-04-18,29.116666666666664
2018-04-19,29.663750000000004
2018-04-20,29.38
2018-04-21,29.409166666666664
2018-04-22,29.499166666666667
2018-04-23,28.955833333333334
2018-04-24,29.220416666666665
2018-04-25,29.493333333333336
2018-04-26,28.545833333333334
2018-04-27,29.252916666666668
2018-04-28,29.405833333333334
2018-04-29,29.16875
2018-04-30,29.66333333333333
2018-05-01,29.24416666666667
2018-05-02,29.20625
2018-05-03,29.03458333333333
2018-05-04,29.163749999999997
2018-05-05,30.07875
2018-05-06,30.170833333333334
2018-05-07,30.122083333333332
2018-05-08,29.670833333333334
2018-05-09,29.66208333333333
2018-05-10,29.872083333333332
2018-05-11,29.627499999999998
2018-05-12,29.626666666666665
2018-05-13,30.087083333333336
2018-05-14,30.545
2018-05-15,30.036666666666665
2018-05-16,29.71875
2018-05-17,29.497916666666665
2018-05-18,29.420416666666668
2018-05-19,29.836249999999996
2018-05-20,29.864583333333332
2018-05-21,28.535
2018-05-22,29.837500000000002
2018-05-23,29.95625
2018-05-24,29.826666666666668
2018-05-25,29.74625
2018-05-26,29.665833333333335
2018-05-27,29.33
2018-05-28,29.201666666666668
2018-05-29,29.16625
2018-05-30,28.379166666666666
2018-05-31,28.496666666666666
2018-06-01,28.50208333333333
2018-06-02,29.447916666666668
2018-06-03,29.050833333333333
2018-06-04,28.92125
2018-06-05,29.459166666666665
2018-06-06,29.583333333333332
2018-06-07,29.75208333333333
2018-06-08,29.175416666666667
2018-06-09,29.001666666666665
2018-06-10,29.412499999999998
2018-06-11,29.5
2018-06-12,29.193749999999998
2018-06-13,28.125
2018-06-14,28.255416666666665
2018-06-15,28.334999999999997
2018-06-16,29.038749999999997
2018-06-17,28.379166666666666
2018-06-18,28.709166666666665
2018-06-19,28.797916666666666
2018-06-20,27.207083333333333
2018-06-21,28.17458333333333
2018-06-22,28.336666666666662
2018-06-23,28.83666666666667
2018-06-24,29.121666666666666
2018-06-25,28.250833333333333
2018-06-26,27.907083333333333
2018-06-27,28.62375
2018-06-28,28.284166666666664
2018-06-29,28.40416666666667
2018-06-30,28.169583333333335
2018-07-01,28.4975
2018-07-02,27.842916666666667
2018-07-03,28.171666666666667
2018-07-04,28.16541666666667
2018-07-05,27.326666666666668
2018-07-06,27.54041666666667
2018-07-07,27.4525
2018-07-08,28.118750000000002
2018-07-09,27.745833333333334
2018-07-10,27.58083333333333
2018-07-11,27.120416666666667
2018-07-12,27.584166666666665
2018-07-13,27.1675
2018-07-14,27.584999999999997
